,NAME,CATEGORY,SUBCATEGORY,LON,LAT,CITY,OPENING_HOURS,OTHER_TAGS
35533,Hotel Astoria,ACCOMMODATION,HOTEL,8.3056813,47.0480783,Luzern,,"{""wheelchair"":""yes"",""name"":""Hotel Astoria"",""tourism"":""hotel""}"
35548,Albergo al Giardinetto,ACCOMMODATION,HOTEL,8.969622600000001,46.3596913,,,"{""name"":""Albergo al Giardinetto"",""tourism"":""hotel""}"
35552,Ucliva,ACCOMMODATION,HOTEL,9.1033365,46.7763903,,,"{""highchair"":""yes"",""name"":""Ucliva"",""changing_table:location"":""female_toilet"",""tourism"":""hotel"",""stars"":""3"",""changing_table"":""yes""}"
35591,Hotel Restaurant Schäfli,ACCOMMODATION,HOTEL,9.1481204,47.148938400000006,,,"{""toilets"":""yes"",""wheelchair"":""no"",""toilets:access"":""customers"",""amenity"":""restaurant"",""name"":""Hotel Restaurant Schäfli"",""cuisine"":""indian"",""tourism"":""hotel"",""outdoor_seating"":""yes""}"
35682,La Couronne,ACCOMMODATION,HOTEL,7.038829000000001,47.241053400000006,,,"{""name"":""La Couronne"",""tourism"":""hotel""}"
36133,Salastrains,ACCOMMODATION,HOTEL,9.8285584,46.4997541,,,"{""name"":""Salastrains"",""FIXME"":""position esimated"",""tourism"":""hotel""}"
36210,Hotel Steinmattli,ACCOMMODATION,HOTEL,7.555973000000001,46.4892051,Adelboden,,"{""name"":""Hotel Steinmattli"",""tourism"":""hotel""}"
36383,Hôtel Hermitage,ACCOMMODATION,HOTEL,7.4939321,46.1137134,,,"{""name"":""Hôtel Hermitage"",""tourism"":""hotel""}"
36386,Pension Evolène,ACCOMMODATION,HOTEL,7.4963819,46.1125698,,,"{""name"":""Pension Evolène"",""tourism"":""hotel""}"
36387,Casa Moscia,ACCOMMODATION,HOTEL,8.7485101,46.151425,Ascona,,"{""name"":""Casa Moscia"",""tourism"":""hotel""}"
36389,Hôtel Eden,ACCOMMODATION,HOTEL,7.4927628,46.114156900000005,,,"{""name"":""Hôtel Eden"",""tourism"":""hotel""}"
36402,De la Croix Blanche,ACCOMMODATION,HOTEL,6.513640100000001,46.6589668,,,"{""name"":""De la Croix Blanche"",""tourism"":""hotel"",""amenity"":""restaurant""}"
36433,EMA House Hotel Suites,ACCOMMODATION,HOTEL,8.5403011,47.3836354,Zürich,,"{""wheelchair"":""limited"",""name"":""EMA House Hotel Suites"",""tourism"":""hotel""}"
36448,Hôtel Edelweiss,ACCOMMODATION,HOTEL,7.5093081,46.0826988,,,"{""name"":""Hôtel Edelweiss"",""tourism"":""hotel""}"
36449,Hôtel Les Mélezes,ACCOMMODATION,HOTEL,7.5090517,46.0843262,,,"{""name"":""Hôtel Les Mélezes"",""tourism"":""hotel""}"
36450,Hôtel des Alpes,ACCOMMODATION,HOTEL,7.5108601,46.0810563,,,"{""name"":""Hôtel des Alpes"",""tourism"":""hotel""}"
36453,Hôtel Garni Gais Logis,ACCOMMODATION,HOTEL,7.5094858,46.0818116,,,"{""name"":""Hôtel Garni Gais Logis"",""tourism"":""hotel""}"
36455,Hôtel Veisivi,ACCOMMODATION,HOTEL,7.509219000000001,46.0834124,,,"{""name"":""Hôtel Veisivi"",""tourism"":""hotel""}"
36466,Münsterhof,ACCOMMODATION,HOTEL,10.4465739,46.6283122,Müstair,,"{""wheelchair"":""yes"",""internet_access"":""wlan"",""tourism"":""hotel"",""stars"":""3"",""toilets:wheelchair"":""yes"",""name"":""Münsterhof""}"
36479,Hôtel Garni Artzinol,ACCOMMODATION,HOTEL,7.4960129,46.1126663,,,"{""name"":""Hôtel Garni Artzinol"",""tourism"":""hotel""}"
36493,Hotel Terminus,ACCOMMODATION,HOTEL,9.8730614,46.5341706,,,"{""name"":""Hotel Terminus"",""tourism"":""hotel""}"
36530,Hôtel-Restaurant de la Tsa,ACCOMMODATION,HOTEL,7.4855603,46.0302822,,,"{""name"":""Hôtel-Restaurant de la Tsa"",""name:fr"":""Hôtel-Restaurant de la Tza"",""tourism"":""hotel"",""ele"":""1900""}"
36561,Hôtel du Pigne,ACCOMMODATION,HOTEL,7.4811312,46.0259913,,,"{""name"":""Hôtel du Pigne"",""tourism"":""hotel""}"
36620,Gästehaus Hotel Gaststube Wasserstelz,ACCOMMODATION,HOTEL,8.4015687,47.5782956,,,"{""name"":""Gästehaus Hotel Gaststube Wasserstelz"",""tourism"":""hotel"",""amenity"":""restaurant""}"
36622,Bären,ACCOMMODATION,HOTEL,7.7894721,47.212256800000006,Langenthal,,"{""name"":""Bären"",""tourism"":""hotel""}"
